date,open,high,low,close,volume
2021-10-04 05:11:05,4332.8,4332.8,4332.8,4332.8,4
2021-10-04 05:11:10,4332.8,4332.8,4332.2,4332.8,21
2021-10-04 05:11:15,4332.8,4334.0,4332.8,4333.8,59
2021-10-04 05:11:25,4333.8,4334.0,4333.5,4333.5,35
2021-10-04 05:11:30,4333.8,4334.2,4333.8,4334.2,36
2021-10-04 05:11:40,4334.0,4334.8,4334.0,4334.0,41
2021-10-04 05:11:50,4333.8,4334.0,4333.8,4334.0,6
2021-10-04 05:11:55,4334.0,4334.2,4334.0,4334.2,31
2021-10-04 05:12:00,4334.5,4334.8,4334.5,4334.5,46
2021-10-04 05:12:05,4334.5,4334.8,4334.5,4334.8,10
2021-10-04 05:12:10,4334.2,4334.5,4334.2,4334.2,20
2021-10-04 05:12:20,4334.2,4334.5,4334.2,4334.2,7
2021-10-04 05:12:25,4334.2,4334.2,4333.8,4333.8,7
2021-10-04 05:12:30,4334.0,4334.0,4333.8,4334.0,17
2021-10-04 05:12:35,4334.0,4334.5,4334.0,4334.5,59
2021-10-04 05:12:40,4334.0,4334.0,4333.5,4333.5,117
2021-10-04 05:12:45,4333.2,4333.5,4333.2,4333.5,9
2021-10-04 05:12:50,4333.8,4334.0,4333.8,4334.0,6
2021-10-04 05:12:55,4333.5,4333.5,4333.5,4333.5,11
2021-10-04 05:13:00,4333.8,4334.2,4333.8,4334.0,15
2021-10-04 05:13:05,4334.0,4334.0,4334.0,4334.0,4
2021-10-04 05:13:10,4334.0,4334.0,4333.8,4333.8,8
2021-10-04 05:13:15,4333.8,4334.0,4333.8,4334.0,4
2021-10-04 05:13:20,4333.5,4333.5,4333.2,4333.2,20
2021-10-04 05:13:25,4333.2,4333.2,4333.0,4333.0,4
2021-10-04 05:13:30,4333.2,4333.2,4333.2,4333.2,3
2021-10-04 05:13:35,4333.2,4333.2,4333.2,4333.2,10
2021-10-04 05:13:40,4333.2,4333.5,4333.2,4333.5,6
2021-10-04 05:13:45,4333.2,4333.2,4333.2,4333.2,15
2021-10-04 05:13:50,4333.0,4333.2,4333.0,4333.2,7
2021-10-04 05:13:55,4333.2,4333.2,4333.2,4333.2,4
2021-10-04 05:14:00,4333.5,4333.5,4333.0,4333.0,6
2021-10-04 05:14:05,4333.0,4333.0,4332.5,4333.0,26
2021-10-04 05:14:10,4333.0,4333.2,4333.0,4333.0,12
2021-10-04 05:14:20,4333.8,4334.0,4333.8,4333.8,44
2021-10-04 05:14:25,4333.5,4333.8,4333.2,4333.2,34
2021-10-04 05:14:35,4333.0,4333.2,4333.0,4333.2,10
2021-10-04 05:14:45,4333.2,4333.2,4333.2,4333.2,3
2021-10-04 05:14:50,4333.2,4333.2,4333.0,4333.0,8
2021-10-04 05:14:55,4333.2,4333.2,4333.0,4333.0,17
2021-10-04 05:15:00,4333.0,4333.2,4332.5,4332.8,20
2021-10-04 05:15:05,4333.0,4333.2,4333.0,4333.2,11
2021-10-04 05:15:10,4333.2,4333.2,4332.8,4332.8,46
2021-10-04 05:15:15,4332.5,4332.5,4332.2,4332.5,23
2021-10-04 05:15:20,4332.8,4333.0,4332.8,4332.8,16
2021-10-04 05:15:25,4333.0,4333.2,4332.8,4333.2,67
2021-10-04 05:15:30,4333.2,4333.2,4333.0,4333.2,37
2021-10-04 05:15:35,4333.2,4333.5,4333.2,4333.2,40
2021-10-04 05:15:40,4333.0,4333.0,4333.0,4333.0,23
2021-10-04 05:15:45,4332.8,4332.8,4332.8,4332.8,4
2021-10-04 05:15:50,4333.0,4333.0,4332.5,4332.5,15
2021-10-04 05:15:55,4332.5,4332.8,4332.5,4332.5,16
